Year,Site,Microtus_californicus,Rattus_norvegicus    ,Rattus_rattus,Peromyscus_truei,Peromyscus_californicus,Peromyscus_maniculatus,Neotoma_fuscipes,Reithrodontomys_megalotis,Odocoileus_hemionus,Mephitis_mephitis,Procyon_lotor,Sciuridae_sp,Canis_latrans,Lynx_rufus,Didelphis_virginiana,Lepus_californicus,Urocyon_cinereoargenteus,Puma_concolor,Sylvilagus_bachmani,Sciurus_griseus,Sceloporus_occidentalis
2016,SMI-16,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
2016,WP-16,1,0,1,0,0,0,9,2,38,0,0,3,0,0,2,0,0,0,0,3,
2016,JSCP-16,0,0,0,32,0,0,6,0,0,0,3,2,0,1,0,4,2,0,0,2,
2016,WDLP-16,1,0,0,25,3,0,5,0,67,0,3,7,0,0,0,0,2,0,0,7,
2016,HOS-16,0,0,0,30,1,0,9,0,46,3,0,0,0,0,0,0,0,0,0,0,
2016,TUP-16,0,0,0,0,0,4,11,0,52,0,2,0,1,5,0,0,0,0,0,0,
2016,LFY-16,0,0,0,24,0,0,2,0,29,0,3,2,0,0,0,0,0,0,0,2,
2016,CCSP-16,0,0,0,3,0,4,17,0,86,0,0,2,0,0,0,11,0,0,0,2,
2016,SLRP-16,0,0,0,7,0,0,2,0,26,5,0,4,0,1,0,0,0,0,0,4,
2017,SMI-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,WP-17,0,0,0,0,1,0,4,0,30,22,0,8,7,1,1,0,0,0,0,8,
2017,JSCP-17,0,0,0,45,0,0,11,0,1,0,1,2,0,0,0,0,0,0,0,2,
2017,WDLP-17,1,0,0,27,4,0,13,0,54,8,0,70,0,0,0,0,0,0,0,70,
2017,HOS-17,0,0,0,27,2,0,11,2,22,1,0,0,1,2,0,0,0,0,0,0,
2017,TUP-17,0,0,0,0,0,31,18,0,11,0,2,1,5,2,0,0,0,0,0,1,
2017,LFY-17,1,0,0,12,0,0,5,2,20,2,10,47,0,0,0,0,0,0,0,47,
2017,CCSP-17,0,0,0,3,0,29,8,0,35,0,0,42,0,0,0,33,0,0,0,42,
2017,SLRP-17,0,0,0,6,0,0,2,0,12,18,1,18,0,4,6,0,0,0,0,18,
2018,SMI-18,1,0,0,0,0,0,0,0,2,9,0,14,0,0,0,0,0,0,0,14,3
2018,WP-18,1,0,0,0,5,0,8,1,16,0,1,21,0,1,2,0,0,0,0,17,8
2018,JSCP-18,0,0,0,45,0,0,15,0,3,0,5,41,0,0,0,0,0,0,0,41,0
2018,WDLP-18,0,0,0,13,3,0,9,0,43,13,9,29,1,2,3,0,0,0,0,28,13
2018,HOS-18,0,0,0,20,2,0,22,0,31,1,0,6,1,3,19,0,0,0,0,6,39
2018,TUP-18,1,0,0,0,0,12,11,0,8,0,0,12,3,3,0,0,0,0,0,12,0
2018,LFY-18,0,0,0,17,0,0,4,0,62,7,4,61,3,2,0,0,3,0,0,61,8
2018,CCSP-18,3,0,0,5,0,25,26,1,80,0,4,69,3,0,0,0,0,0,42,69,59
2018,SLRP-18,1,0,0,20,0,0,3,0,19,17,3,8,0,1,5,0,0,0,0,8,11
2018,FL-18,0,0,0,28,12,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2018,WH-18,0,0,0,33,9,3,6,0,18,0,0,6,0,4,0,0,4,1,0,6,37
2019,SMI-19,0,0,0,0,0,0,0,0,12,27,5,11,0,0,0,0,0,0,0,11,30
2019,WP-19,0,0,0,0,4,0,1,0,10,5,0,7,1,0,0,0,0,0,0,7,20
2019,JSCP-19,0,0,0,15,0,0,8,0,0,0,4,43,0,0,5,0,0,0,0,43,0
2019,WDLP-19,0,0,0,5,2,0,3,0,37,8,1,4,0,0,1,0,0,0,0,4,12
2019,HOS-19,0,0,0,12,0,0,17,0,8,2,0,0,0,0,0,0,0,2,0,0,34
2019,TUP-19,0,0,0,0,0,15,11,0,47,0,1,0,1,1,0,0,0,0,0,0,0
2019,LFY-19,0,0,0,5,0,0,1,0,27,3,1,18,0,0,0,1,0,0,0,18,25
2019,PUG-19,0,0,0,17,0,0,4,0,8,0,0,0,1,0,0,0,0,0,0,0,32
2019,CCSP-19,0,0,0,1,0,31,11,0,112,0,3,6,0,0,0,10,0,0,0,6,53
2019,SLRP-19,0,0,0,10,0,0,1,0,11,2,0,5,0,0,5,3,0,0,0,5,27
2019,TIL-19,0,0,0,21,5,3,2,0,2,8,3,0,2,0,0,0,0,0,18,0,7
2019,PR-19,1,0,0,26,0,2,6,1,0,1,0,1,0,0,0,0,0,0,0,1,12
2019,FL-19,0,0,0,21,13,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2019,WH-19,0,0,0,24,9,0,3,0,14,0,0,37,0,5,0,0,5,0,0,37,43
2021,SMI-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
